blind_id,attack_type,environment_type,difficulty,narrative,attack_stages_and_techniques,stage_count
ADV-1CAA91B171,Ransomware,ICS,Hard,"APT29 conducts a sophisticated ransomware attack on a water treatment facility by compromising the supply chain of critical software updates. Through stealthy reconnaissance and advanced software tampering techniques, they establish persistent access to enable long-term intelligence collection.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1566.001 Malicious Link | 3. Execution: T1203 Exploitation for Client Execution | 4. Persistence: T1078 Valid Accounts",4
ADV-C05BE69843,APT,Enterprise Network,Hard,"Mustang Panda conducts a targeted campaign against a financial services company, leveraging cloud service abuse and identity manipulation to gain access to sensitive customer data. The attackers utilize patient and low-noise tactics to avoid detection while exfiltrating proprietary intellectual property.",1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1078 Valid Accounts | 3. Execution: T1566.001 Phishing: Spear Phishing Link | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel,4
ADV-8AF256BCB3,Ransomware,Cloud Infrastructure,Easy,The threat actor Cozy Bear targets a cloud-native SaaS startup to steal intellectual property. The attack involves rapid reconnaissance and exploitation of vulnerabilities to deploy ransomware quickly.,"1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Attachment, T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution, T1486 Data Encrypted for Impact | 4. Impact: T1041 Exfiltration Over Command and Control Channel, T1567 Exfiltration Over Web Service",4
ADV-B2E9905898,Phishing,Enterprise Network,Medium,Mustang Panda initiates a phishing campaign targeting media organizations to compromise cloud service credentials. The objective is to manipulate identities to gain access to sensitive information and poison the supply chain for downstream targets.,1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Link | 3. Execution: T1078.001 Valid Accounts: Default Accounts | 4. Credential Access: T1552.001 Unsecured Credentials: Credentials in Files,4
ADV-78A0501165,Phishing,ICS,Hard,"An advanced persistent threat group targets an industrial control system (ICS) environment using a multi-stage phishing attack. They gather information about the target's infrastructure, gain initial access through a crafted email, and escalate privileges to manipulate control systems.","1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1566 Phishing, T1203 Exploitation for Client Execution | 3. Execution: T1059 Command and Scripting Interpreter, T1041 Exfiltration Over Command and Control Channel | 4. Privilege Escalation: T1068 Execution through Application Layer Protocol, T1078 Valid Accounts | 5. Impact: T1499 Endpoint Denial of Service, T1485 Data Manipulation",5
ADV-B62CD08163,APT,Enterprise Network,Easy,"An advanced persistent threat actor targets an enterprise network to exfiltrate sensitive data over a period of time, employing social engineering and credential theft techniques to gain access to internal systems.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution | 4. Persistence: T1136 Create Account | 5. Exfiltration: T1041 Exfiltration Over Command and Control Channel",5
ADV-E772BB9223,Insider Threat,Enterprise Network,Easy,The Sandworm group exploits insider access to cloud services within a media organization to manipulate identities and launch a ransomware campaign. The threat actor remains patient and stealthy as they establish footholds for later extortion attempts.,1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1078 Valid Accounts | 3. Privilege Escalation: T1068 Exploitation for Privilege Escalation | 4. Execution: T1486 Data Encrypted for Impact,4
ADV-81547B2A29,Phishing,Cloud Infrastructure,Medium,"An attacker targets a cloud infrastructure provider by conducting reconnaissance to identify potential vulnerabilities and then uses a phishing email to gain initial access to user credentials, followed by exploiting the compromised account to escalate privileges and move laterally across the cloud environment.",1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing | 3. Credential Access: T1078 Valid Accounts | 4. Privilege Escalation: T1068 Execution with Unnecessary Privileges | 5. Lateral Movement: T1021 Remote Services,5
ADV-FCF97FA24C,Ransomware,Healthcare,Hard,"APT35 conducts a sophisticated ransomware attack targeting a hospital emergency department, focusing on initial access through spear phishing and credential harvesting. The goal is to deploy ransomware for extortion while maintaining high operational security.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Spear Phishing Link | 3. Credential Harvesting: T1078 Valid Accounts, T1110.002 Brute Force | 4. Ransomware Deployment: T1486 Data Encrypted for Impact",4
ADV-2F29AB1708,APT,ICS,Medium,"Mustang Panda targets the automotive supply chain, leveraging operational vulnerabilities amidst geopolitical tensions. The group employs stealthy techniques to infiltrate critical infrastructure, aiming for disruptive outcomes.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Link, T1078 Valid Accounts | 3. Execution: T1059.001 Command and Scripting Interpreter: PowerShell | 4. Defense Evasion: T1218.011 Signed Binary Proxy Execution: Disguise, T1140 Deobfuscate/Decode Files or Information",4
ADV-305392BC3B,APT,Enterprise Network,Medium,"The Cozy Bear threat actor targets a retail banking institution, aiming to exploit cloud services for data theft and business email compromise. With a focus on low operational security, they conduct a fast-paced attack to manipulate identities and gain access to sensitive financial information.",1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Link | 3. Credential Access: T1078 Valid Accounts | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel,4
ADV-02A61B0920,Phishing,Enterprise Network,Hard,"Kimsuky conducts a sophisticated phishing campaign targeting a research university to gain initial access. Using tailored email lures, they aim to deploy ransomware to extort sensitive research data and disrupt academic operations.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1566.001 Phishing: Spear Phishing Attachment | 3. Lateral Movement: T1078 Valid Accounts, T1021 Remote Services | 4. Impact: T1486 Data Encrypted for Impact",4
ADV-63C9C410EA,Phishing,Healthcare,Medium,"An attacker targets a healthcare organization by first gathering information about employees and their roles, then executing a phishing campaign to gain initial access to sensitive systems.","1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution",3
ADV-001A0228DB,APT,Enterprise Network,Hard,"APT41 targets a telecommunications provider, exploiting existing tools and services within the network to deploy ransomware. The attack is characterized by a low operational security approach, aiming for rapid infiltration and extortion.",1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Spear Phishing Link | 3. Execution: T1059.001 PowerShell | 4. Persistence: T1078 Valid Accounts | 5. Impact: T1486 Data Encrypted for Impact,5
ADV-59FB56CD06,APT,Cloud Infrastructure,Hard,"An advanced persistent threat actor targets a cloud infrastructure provider, aiming to exfiltrate sensitive data and establish a foothold for long-term access.","1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution, T1059 Command and Scripting Interpreter | 4. Persistence: T1547 Boot or Logon Autostart Execution, T1071 Application Layer Protocol | 5. Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1048 Exfiltration Over Alternative Protocol",5
ADV-451AC20382,Insider Threat,Enterprise Network,Medium,An employee with access to sensitive systems exploits their knowledge to exfiltrate confidential data for personal gain.,"1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1078 Valid Accounts | 3. Data Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1020 Automated Exfiltration",3
ADV-E74C554359,Ransomware,ICS,Medium,"An attacker targets an Industrial Control System (ICS) environment to deploy ransomware. The attack begins with reconnaissance to identify vulnerable systems, followed by gaining initial access through phishing. Once inside, the attacker escalates privileges and then deploys ransomware to disrupt operations.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing | 3. Privilege Escalation: T1078 Valid Accounts, T1068 Exploit Public-Facing Application | 4. Execution: T1486 Data Encrypted for Impact",4
