seq_id,scenario_id,attack_type,environment,difficulty,narrative,attack_stages,techniques,n_stages
1,phishing_cloud_001,Phishing,Cloud Infrastructure,Medium,An attacker conducts a phishing campaign targeting cloud infrastructure users to gain unauthorized access and exploit sensitive data.,Reconnaissance → Initial Access → Credential Access,T1595 | T1566 | T1078 | T1081 | T1552,3
2,ransomware_attack_001,Ransomware,Enterprise Network,Hard,"A sophisticated ransomware attack begins with extensive reconnaissance on the target enterprise network, identifying vulnerable services and employees. Following this, the attackers gain initial acces...",Reconnaissance → Initial Access → Execution,T1595 | T1589 | T1566 | T1078 | T1486,3
3,SP-2023-001,Insider Threat,Healthcare,Easy,"In this scenario, Mustang Panda exploits insider access within a pharmaceutical company to deploy a ransomware payload. The threat actor utilizes social engineering tactics to compromise employee cred...",Reconnaissance → Initial Access → Execution → Impact,T1595 | T1566.001 | T1203 | T1486,4
4,healthcare-phishing-easy-001,Phishing,Healthcare,Easy,An attacker targets a healthcare organization by sending a phishing email to gain access to sensitive patient data.,Reconnaissance → Initial Access → Execution → Credential Access,T1595 | T1566 | T1071 | T1203 | T1078,4
5,KIMSUKY_LAW_FIRM_APT_001,APT,Enterprise Network,Hard,"Kimsuky targets a legal firm to extract sensitive information regarding client cases and negotiations. Using a methodical approach, the threat actor aims to compromise software updates to gain persist...",Reconnaissance → Initial Access → Execution → Persistence,T1595 | T1590 | T1195 | T1566.001 | T1203,4
6,HT-2023-001,Insider Threat,Healthcare,Medium,"An insider at a healthcare organization exploits their access to sensitive patient data for personal gain, eventually leading to a data breach.",Reconnaissance → Initial Access → Execution → Exfiltration,T1595 | T1087 | T1078 | T1110 | T1059,4
7,ransomware_attack_cloud_001,Ransomware,Cloud Infrastructure,Medium,"An adversary targets a cloud infrastructure provider to deploy ransomware, leveraging misconfigurations and social engineering to gain access and encrypt sensitive data, demanding a ransom for decrypt...",Reconnaissance → Initial Access → Execution → Exfiltration → Impact,T1595 | T1046 | T1566 | T1078 | T1486,5
8,APT_Easy_001,APT,Enterprise Network,Easy,"An attacker performs a targeted attack on an enterprise network, seeking to gain unauthorized access and exfiltrate sensitive data.",Reconnaissance → Initial Access → Execution → Persistence → Exfiltration,T1595 | T1566 | T1078 | T1203 | T1053,5
9,APT28-WaterTreatment-001,Insider Threat,ICS,Medium,APT28 leverages insider access to gather sensitive information from the water treatment facility's operational systems. The campaign is characterized by careful planning and low-noise tactics to avoid...,Reconnaissance → Initial Access → Credential Access → Exfiltration,T1595 | T1566.001 | T1078 | T1003.001 | T1555.001,4
10,KIMSUKY_Pharma_Phishing_2023,Phishing,Healthcare,Medium,"Kimsuky has targeted a pharmaceutical company through a phishing campaign designed to deploy ransomware. The attack leverages low operational security to quickly gain access, with the intent of establ...",Reconnaissance → Initial Access → Execution → Persistence,T1595 | T1566.001 | T1203 | T1547.001,4
11,ICS-IT-001,Insider Threat,ICS,Easy,"An insider with access to the ICS environment conducts reconnaissance to identify vulnerable systems, then exploits their access to install malware that disrupts operations.",Reconnaissance → Initial Access → Execution,T1595 | T1087 | T1078 | T1041 | T1203,3
12,APT-Cloud-001,APT,Cloud Infrastructure,Easy,"An advanced persistent threat (APT) actor targets a cloud infrastructure provider, seeking to gain unauthorized access and exfiltrate sensitive data.",Reconnaissance → Initial Access → Execution → Persistence → Exfiltration,T1595 | T1566 | T1078 | T1059 | T1136,5
13,APT28_InsiderThreat_MilitaryContractor_001,Insider Threat,Enterprise Network,Easy,"The APT28 group targets a military contractor to gather sensitive data regarding defense projects. By leveraging insider access, they aim to collect information slowly before executing a destructive a...",Reconnaissance → Initial Access → Data Collection → Exfiltration,T1595 | T1078 | T1119 | T1560 | T1041,4
14,APT29_Higher_Education_Phishing_001,Phishing,Enterprise Network,Easy,Cozy Bear targets a research university by sending spear-phishing emails to faculty members. The campaign aims to collect sensitive research data and conduct a staged exfiltration of critical infrastr...,Reconnaissance → Initial Access → Credential Access → Exfiltration,T1595 | T1566 | T1566.001 | T1078 | T1041,4
15,Kimsuky-APT-001,APT,Cloud Infrastructure,Medium,Kimsuky targets a cloud-native SaaS startup to implement a long-term implant for supply chain poisoning. The campaign is characterized by careful reconnaissance and low-noise techniques to avoid detec...,Reconnaissance → Initial Access → Execution → Persistence,T1595 | T1087.001 | T1566.001 | T1203 | T1059.001,4
16,insider-threat-cloud-001,Insider Threat,Cloud Infrastructure,Medium,"An insider threat actor exploits their access to cloud infrastructure to gather sensitive information, escalate privileges, and exfiltrate data over time.",Reconnaissance → Initial Access → Execution → Exfiltration,T1595 | T1087 | T1078 | T1566 | T1059,4
17,APT-001,APT,Cloud Infrastructure,Hard,An advanced persistent threat group targets a cloud infrastructure provider to gain unauthorized access to sensitive data for espionage purposes.,Reconnaissance → Initial Access → Execution → Persistence → Exfiltration,T1595 | T1087 | T1566 | T1078 | T1059,5
18,ICS-Ransomware-001,Ransomware,ICS,Medium,"An attacker targets an Industrial Control System (ICS) to deploy ransomware, aiming to disrupt operations and demand a ransom for decryption keys.",Reconnaissance → Initial Access → Execution → Impact,T1595 | T1046 | T1078 | T1566 | T1203,4
19,APT-ICS-001,APT,ICS,Easy,An Advanced Persistent Threat (APT) targets an industrial control system (ICS) environment to disrupt operations and exfiltrate sensitive data.,Reconnaissance → Initial Access → Execution → Persistence → Command and Control → Exfiltration,T1595 | T1566 | T1203 | T1547 | T1071,6
20,APT-2023-001,APT,Enterprise Network,Medium,"An advanced persistent threat group targets an enterprise network, performing reconnaissance before executing a multi-stage attack that compromises sensitive data and establishes a foothold in the env...",Reconnaissance → Initial Access → Execution → Persistence → Privilege Escalation → Defense Evasion → Credential Access → Exfiltration,T1595 | T1592 | T1566 | T1203 | T1059,8
21,APT-001,APT,Enterprise Network,Hard,An advanced persistent threat actor targets a financial institution to exfiltrate sensitive customer data and disrupt operations over a prolonged period.,Reconnaissance → Initial Access → Command and Control → Exfiltration,T1595 | T1592 | T1566 | T1078 | T1071,4
22,ICS-Ransomware-001,Ransomware,ICS,Easy,"An attacker targets an Industrial Control System (ICS) environment to deploy ransomware, initially conducting reconnaissance to identify vulnerable systems, followed by gaining access, deploying malwa...",Reconnaissance → Initial Access → Execution → Impact,T1595 | T1592 | T1078 | T1566 | T1203,4
23,MUSTANG_PANDA_MEDIA_PHISHING_01,Phishing,Enterprise Network,Hard,"Mustang Panda conducts a targeted phishing campaign against a leading media outlet, leveraging social engineering tactics to deliver a destructive payload disguised as legitimate correspondence. The g...",Reconnaissance → Initial Access → Execution → Persistence,T1595 | T1566 | T1566.001 | T1203 | T1078,4
24,KIMSUKY_INSIDER_THREAT_001,Insider Threat,Healthcare,Hard,"Kimsuky leverages insider threats to infiltrate pharmaceutical companies, aiming to poison the supply chain. With low operational security, the threat actor utilizes noisy techniques to compromise dom...",Reconnaissance → Initial Access → Lateral Movement → Domain Compromise,T1595 | T1566.001 | T1078 | T1021.001 | T1075,4
25,APT35-Ransomware-001,Ransomware,Enterprise Network,Hard,"In this campaign, Charming Kitten targets a research university with the intention of deploying ransomware through supply chain poisoning. The attackers leverage their low operational security to exec...",Reconnaissance → Initial Access → Execution → Exfiltration,T1595 | T1566.001 | T1203 | T1041,4
26,SANDWORM-2023-001,Ransomware,ICS,Medium,"In a coordinated attack, Sandworm targets automotive supply chain manufacturers, aiming to disrupt production and inflict damage through ransomware. The campaign utilizes a mix of stealth and speed to...",Reconnaissance → Initial Access → Execution → Impact,T1595 | T1566.001 | T1078 | T1203 | T1059.001,4
27,Lazarus_Insider_Threat_Ecommerce,Insider Threat,Enterprise Network,Medium,"The Lazarus Group infiltrates a retail e-commerce platform through an insider, leveraging stolen credentials to access sensitive payment processing systems. Their objective is to exfiltrate intellectu...",Reconnaissance → Initial Access → Persistence → Exfiltration,T1595 | T1078 | T1040 | T1567.001,4
28,APT-ICS-001,APT,ICS,Easy,An advanced persistent threat actor targets an ICS environment to disrupt operations and gain unauthorized access to sensitive data.,Reconnaissance → Initial Access → Execution → Persistence → Command and Control,T1595 | T1566 | T1078 | T1203 | T1547,5
29,ICS_Phishing_Attack_001,Phishing,ICS,Hard,"An attacker targets an industrial control system (ICS) environment through a sophisticated phishing attack, leveraging multiple stages to gain access and potentially disrupt operations.",Reconnaissance → Initial Access → Execution → Persistence → Command and Control → Impact,T1595 | T1566 | T1078 | T1203 | T1053,6
30,insider-threat-001,Insider Threat,Healthcare,Hard,"An employee at a healthcare facility exploits their access to sensitive patient data for malicious purposes, leading to data theft and potential patient harm.",Reconnaissance → Initial Access → Data Exfiltration,T1595 | T1087 | T1078 | T1566 | T1041,3
31,healthcare-phishing-attack-001,Phishing,Healthcare,Hard,An adversary targets a healthcare organization by first conducting reconnaissance to gather information about employees. They then craft a convincing phishing email to gain initial access to the netwo...,Reconnaissance → Initial Access → Execution → Credential Access → Exfiltration,T1595 | T1016 | T1566 | T1071 | T1203,5
